replicas,clients,payload,ports,latency(us),throughput client(Mop/sec), throughput server(Mop/sec), network(Gbps)
1,1,190,2,11.4555,0.0873171,0.0545477,0.109095
1,1,512,2,12.9607,0.0771592,0,0
1,20,0,2,11.0575,1.80903,0.908422,0.436043
1,20,190,2,12.3769,1.61615,0.805656,1.61131
1,20,512,2,13.9178,1.43741,0.712761,3.2616
1,50,0,2,16.9379,2.95244,2.4697,1.18546
1,50,190,2,18.4342,2.71257,2.23711,4.47421
1,50,512,2,20.4481,2.44551,2.01147,9.20449
1,100,0,2,20.4766,4.88396,4.67518,2.24409
1,100,190,2,22.2133,4.5023,4.27217,8.54435
1,100,512,2,27.8835,3.58638,3.45022,15.7882
1,150,0,2,21.6159,6.93993,6.43653,3.08953
1,150,190,2,24.2395,6.18847,5.71478,11.4296
1,150,512,2,36.984,4.05594,3.81949,17.478
1,180,0,2,23.0185,7.81993,7.41211,3.55781
1,180,190,2,26.4233,6.81239,6.48404,12.9681
1,180,512,2,45.3361,3.97039,3.85217,17.6275
1,200,0,2,24.3166,8.22566,7.97646,3.8287
1,200,190,2,28.429,7.03513,6.80166,13.6033
1,200,512,2,51.2846,3.89986,3.86053,17.6658
1,250,0,2,27.075,9.2344,8.75187,4.2009
1,250,190,2,32.7996,7.62288,7.23259,14.4652
1,250,512,2,62.2348,4.01712,3.8686,17.7027
1,300,0,2,30.6276,9.79657,9.32127,4.47421
1,300,190,2,39.1224,7.66845,7.51461,15.0292
1,300,512,2,76.6309,3.91498,3.87343,17.7248
1,350,0,2,34.2149,10.2296,9.69926,4.65564
1,350,190,2,44.8484,7.80511,7.51678,15.0336
1,350,512,2,88.2006,3.96833,3.87582,17.7358
1,400,0,2,39.6326,10.0938,9.76771,4.6885
1,400,190,2,51.8853,7.71017,7.54298,15.086
1,400,512,2,102.093,3.91817,3.87837,17.7474
2,1,0,2,125.789,0.00795753,0,0
2,1,190,2,211.78,0.00475441,0,0
2,1,512,2,203.831,0.00490794,0,0
2,20,0,2,23.0806,0.866554,0.768501,0.737761
2,20,190,2,25.4415,0.786124,0.693719,2.77488
2,20,512,2,28.446,0.703137,0.617089,5.6476
2,50,0,2,26.4869,1.88782,1.77789,1.70678
2,50,190,2,29.1769,1.71373,1.60038,6.40151
2,50,512,2,34.2204,1.46128,1.36406,12.4839
2,100,0,2,34.3261,2.91384,2.77877,2.66762
2,100,190,2,36.1457,2.76697,2.63534,10.5414
2,100,512,2,50.928,1.96356,1.96879,18.0184
2,150,0,2,35.6303,4.21008,4.05703,3.89475
2,150,190,2,39.5521,3.79258,3.66596,14.6638
2,150,512,2,53.1693,2.82121,2.58269,23.6368
2,180,0,2,41.2983,4.36992,4.24609,4.07625
2,180,190,2,49.2971,3.65135,3.52558,14.1023
2,180,512,2,75.2218,2.39294,2.07966,19.0331
2,200,0,2,40.7153,4.91219,4.78347,4.59213
2,200,190,2,47.2006,4.23739,4.13172,16.5269
2,200,512,2,105.471,1.89631,2.17912,19.9433
2,250,0,2,42.4344,5.89155,5.73328,5.50395
2,250,190,2,60.2442,4.14997,4.15481,16.6192
2,250,512,2,136.195,1.83564,2.07613,19.0007
2,300,0,2,51.7667,5.7955,5.66616,5.43951
2,300,190,2,63.3595,4.73512,4.65237,18.6095
2,300,512,2,125.469,2.39107,2.08252,19.0592
2,350,0,2,51.4767,6.79923,6.6538,6.38765
2,350,190,2,69.08,5.06666,5.03829,20.1532
2,350,512,2,145.765,2.40115,2.3607,21.6051
2,400,0,2,66.8401,5.98689,5.88229,5.647
2,400,190,2,99.6349,4.01523,4.35681,17.4272
2,400,512,2,210.321,1.91227,1.83109,16.7581
3,1,0,2,127.051,0.00788136,0,0
3,1,190,2,127.687,0.00783888,0,0
3,1,512,2,204.72,0.00488653,0,0
3,20,0,2,24.3816,0.820326,0.648785,0.93425
3,20,190,2,26.3258,0.759736,0.589534,3.5372
3,20,512,2,29.0085,0.689473,0.539216,7.40236
3,50,0,2,26.4249,1.89224,1.5681,2.25806
3,50,190,2,74.2847,1.59936,0.787105,4.72263
3,50,512,2,36.6037,1.36599,1.12993,15.5117
3,100,0,2,35.4642,2.81993,2.47125,3.5586
3,100,190,2,34.3607,2.91036,2.73024,16.3814
3,100,512,2,43.183,2.3158,2.16538,29.7263
3,150,0,2,34.5426,4.34249,4.06255,5.85008
3,150,190,2,39.8841,3.76096,3.48305,20.8983
3,150,512,2,91.1898,1.64497,1.54818,21.2534
3,180,0,2,36.2328,4.96795,4.74359,6.83077
3,180,190,2,48.4883,3.71229,3.39026,20.3416
3,180,512,2,88.4481,2.03512,1.54892,21.2636
3,200,0,2,39.6389,5.0456,4.88076,7.02829
3,200,190,2,60.7776,3.29076,3.12128,18.7277
3,200,512,2,176.495,1.13326,1.31522,18.0554
3,250,0,2,47.1496,5.3023,5.01613,7.22323
3,250,190,2,76.427,3.27122,3.45135,20.7081
3,250,512,2,112.615,2.22,2.18886,30.0487
3,300,0,2,46.219,6.49174,6.02384,8.67433
3,300,190,2,90.488,3.31542,3.4277,20.5662
3,300,512,2,179.348,1.70067,1.1263,15.4618
3,350,0,2,51.8739,6.76318,6.41785,9.24171
3,350,190,2,110.351,3.17177,3.34942,20.0965
3,350,512,2,167.829,2.08549,1.75345,24.0714
3,400,0,2,60.3387,6.62932,6.49491,9.35266
3,400,190,2,96.0065,4.16644,3.59561,21.5737
3,400,512,2,228.377,1.80191,0.731978,10.0486
1,1,0,3,9.9972,0.100033,0.0582219,0.0279465
1,1,190,3,11.4356,0.0874582,0.0539323,0.107865
1,1,512,3,12.9983,0.0769374,0,0
1,20,0,3,10.9353,1.82962,0.920098,0.441647
1,20,190,3,12.2508,1.63284,0.812225,1.62445
1,20,512,3,13.8008,1.44934,0.719034,3.2903
1,50,0,3,17.0066,2.94012,2.45212,1.17702
1,50,190,3,18.1384,2.75663,2.2749,4.5498
