replicas,clients,payload,ports,latency(us),throughput client(Mop/sec), throughput server(Mop/sec), network(Gbps)
2,300,0,4,373.569,0.807442,0.787873,0.756358
2,350,0,4,401.578,0.93177,0.788941,0.757384
2,400,0,4,522.881,0.768694,0.769596,0.738812
3,1,0,4,211.963,0.00471986,0,0
3,20,0,4,38.4149,0.520895,0.408298,0.58795
3,50,0,4,78.3998,0.637971,0.788962,1.13611
3,100,0,4,139.605,0.716596,0.791655,1.13998
3,150,0,4,193.614,0.77489,0.769948,1.10873
3,180,0,4,242.713,0.741864,0.791649,1.13998
3,200,0,4,277.228,0.721976,0.793346,1.14242
3,250,0,4,336.986,0.742151,0.781957,1.12602
3,300,0,4,378.643,0.793201,0.786261,1.13222
3,350,0,4,410.674,0.870504,0.794145,1.14357
3,400,0,4,259.885,1.55956,0,0
